cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
265	3	36865	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
266	3	69633	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
267	3	24577	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
268	3	40961	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
269	3	73729	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
270	3	49153	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
271	3	81921	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
272	3	98305	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
273	3	14	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
274	3	22	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
275	3	38	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
276	3	70	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
277	3	134	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
278	3	262	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
279	3	518	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
280	3	1030	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
281	3	2054	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
282	3	4102	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
283	3	8198	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
284	3	16390	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
285	3	32774	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
286	3	65542	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
287	3	26	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
288	3	42	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
289	3	74	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
290	3	138	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
291	3	266	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
292	3	522	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
293	3	1034	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
294	3	2058	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
295	3	4106	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
296	3	8202	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
297	3	16394	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
298	3	32778	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
299	3	65546	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
300	3	50	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
301	3	82	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
302	3	146	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
303	3	274	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
304	3	530	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
305	3	1042	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
306	3	2066	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
307	3	4114	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
308	3	8210	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
309	3	16402	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
310	3	32786	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
311	3	65554	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
312	3	98	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
313	3	162	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
314	3	290	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
315	3	546	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
316	3	1058	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
317	3	2082	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
318	3	4130	6	6	27.631321100929547	39.863569925521631	39.863569925521631	0
